Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
"Rehabilitation of Dilapidated Isawo Micro Water Scheme, Ikorodu LGA.",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202247653671,"₦9,972,910.00",BILDIN GLOBAL LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"IKORODU, LAGOS"
"Rehabilitation of Dilapidated Modified Type A Water Schemes in Holy Timothy Community Aboru in Ipaja Ayobo LCDA, Governor’s Road CDA in Ikotun-Igando LCDA and Type A Water in Magbon-Segun Community in Ibeju-Lekki LGA)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202205703148,"₦9,404,502.50",BILDIN GLOBAL LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,IBEJU LEKKI
Provision of Modified Type 'A' Water Schemes in  Toniyon Community in Badagry LGA and Igbomogun Community in Igbogbo-Baiyeku LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202220760678,"₦9,687,576.52",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"IKORODU, LAGOS"
Provision of Modified Type 'A' Water Schemes in Okegun-Odofin Rulling House Community in Ibeju-Lekki LGA and Banana Estate Community in Igbogbo-Baiyeku LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202224520564,"₦9,687,576.52",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"IKORODU, LAGOS"
Provision of Modified Type 'A' Water Schemes in Layeode Community in Ikosi- Ejinrin LCDA and Idena Community in Ikosi-Ejinrin LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202243421371,"₦9,687,576.52",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"IKOSI-EJINRIN, LAGOS"
Provision of Modified Type 'A' Water Schemes in Iganke Community in Ikosi- Ejinrin LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202218258242,"₦6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"IKOSI-EJINRIN, LAGOS"
Provision of Modified Type 'A' Water Schemes in Erekiti Community in Badagry LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202201866127,"₦6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"BADAGRY, LAGOS"
Provision of Modified Type 'A' Water Schemes in Agodogbon Community in Ikorodu North LCDA  of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202261220167,"₦6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"IKORODU, LAGOS"
Provision of Modified Type 'A' Water Schemes in Muyanrin Community in Olorunda LCDA  in  Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202230564128,"₦6,945,142.75",ABVIC EXECUTIVE COMPANY,Private Organization,,0,2021,ONGOING,,"Wednesday, December 15, 2021",2022-06-12,"OLORUNDA, LAGOS"
Provision of Rural Electrification in Four(4) Locations in Epe Division of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202284015588,"₦78,078,822.20",SHARP REALTORS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, December 13, 2021",2022-06-12,"EPE, LAGOS"
Provision of Rural Electrification in Two (2) Locations in Badagry Division of Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202208335476,"₦39,897,850.45",MEGA ULTIMATE LIMITED.,Private Organization,,0,2021,ONGOING,,"Monday, December 13, 2021",2022-06-12,"BADAGRY, LAGOS"
"Grading of Wagbare/Ewupako, Ibelefun Greenland CDA, Offin Igbogbo-Baiyekun LCDA",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202247684025,"₦81,452,339.98",MEDAVILLE CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021",2022-06-12,"IKORODU, LAGOS"
Construction of Palace Way Ajara Agelasho in Badagry Local Government (Lot 3),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202284110024,"₦156,812,834.60",SAIL THROUGH CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021",2022-06-12,"BADAGRY, LAGOS"
"Construction of Agbajefeye Street, Aga, Ikorodu Local Government  Area (Lot 2)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202220215851,"₦159,061,033.47",BRINK CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021",2022-06-12,"IKORODU, LAGOS"
Construction of Access Road to Imobido Town off Lekki Free Trade Zone in Ibeju-Lekki Local Government Area (Lot 1),MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202210667388,"₦106,193,821.86",MEDAVILLE CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, November 19, 2021",2022-06-12,IBEJU LEKKI
Special Intervention on Provision of Social Infrastructure at Imeru Community as part of the Lasocu Identified Poorest Communities in Lagos State,MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202243167202,"₦232,051,781.98",ECOSERVE FMC LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, October 22, 2021",2022-06-12,"IMERU, LAGOS"
"Construction of Public Toilet with Borehole in Aiyetoro Market,Epe Local Government in Epe Division (Lot 13)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202243752262,"₦6,998,431.79",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"EPE, LAGOS"
"Construction of Public Toilet with Borehole in Pobo Market, Eredo LCDA in Epe Division (Lot 12)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202281427781,"₦6,991,658.54",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"EPE, LAGOS"
"Construction of Public Toilet with Borehole in Ibeju-Agbe Community Market, Ibeju Lekki LG in Epe Division (Lot 11)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202237362850,"₦6,995,044.79",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,IBEJU LEKKI
"Construction of Public Toilet with Borehole in Itafaji Market, Lagos Island LG in Lagos Division (Lot  10)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202200657217,"₦6,997,187.42",RIO CONSTRUCTION LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,LAGOS ISLAND
"Construction of Public Toilet with Borehole in Ifesowapo Market, Coker Aguda LCDA in Lagos Division (Lot 9)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202266234276,"₦6,875,476.30",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"AGUDA, LAGOS"
"Construction of Public Toilet with Borehole in Oluwo Idikan Market, Ikorodu West LCDA in Ikorodu division (Lot 8)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202217700711,"₦6,875,476.30",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"IKORODU, LAGOS"
"Construction of Public Toilet with Borehole in  Owode Elepo Market, Igbogbo Bayeiku LCDA in Ikorodu Division (Lot 7)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202206043123,"₦6,875,476.30",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"IKORODU, LAGOS"
"Construction of Public Toilet with Borehole in   Temidire Community Market, Igbo Elerin, Iba LCDA in Badagry Division (Lot 6)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202232551547,"₦6,931,244.99",CABLE MASS INTERNATIONAL LTD,Private Organization,"₦200,000,001 to ₦250,000,000",44,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"BADAGRY, LAGOS"
"Construction of Public Toilet with Borehole in Ilogbo Market, Olorunda LCDA in Badagry Division (Lot 5)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202218007085,"₦6,931,244.99",CABLE MASS INTERNATIONAL LTD,Private Organization,"₦200,000,001 to ₦250,000,000",44,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"BADAGRY, LAGOS"
"Construction of Public Toilet with Borehole in Moroof Ojoola Market,Ejigbo LCDA in Ikeja Division (Lot 3)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202266364647,"₦6,931,244.99",CABLE MASS INTERNATIONAL LTD,Private Organization,"₦200,000,001 to ₦250,000,000",44,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"EJIGBO, LAGOS"
"Construction of Public Toilet with Borehole in  Ashogbon Market, Bariga LCDA in Ikeja Division (Lot 4)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202252048262,"₦6,875,476.32",CONNECTING LAGOS LIMITED,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"BARIGA, LAGOS"
"Construction of Public Toilet with Boreholes in Plantain Market,Agboyi Ketu LCDA in Ikeja Division (Lot 2)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202245413814,"₦6,943,562.50",LEGENDARY RASFA INTERNATIONAL LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, October 25, 2021",2022-06-12,"KETU, LAGOS"
"Construction of Public Toilets with Borehole in Goodwill & Plank Market, Kosofe LG in Ikeja Division (Lot 1)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202271080738,"₦6,943,562.50",LEGENDARY RASFA INTERNATIONAL LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, October 25, 2021",2022-06-12,"IKEJA, LAGOS"
"Construction of Public Toilets and Boreholes in Ogungbe Market, Apapa Local Government (Lot 2)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202228245580,"₦6,931,244.99",TTK SANWO ENTERPRISES,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"APAPA, LAGOS"
"Construction of Public Toilets and Boreholes in Idera Market, Oshodi LGA& Obunale Market, Ikorodu (Lot 1)",MINISTRY OF LOCAL GOVERNMENT/ COMMUNITY AFFAIRS,ocds-5q8fsw-6202232446246,"₦7,229,137.52",TTK SANWO ENTERPRISES,Private Organization,,0,2021,ONGOING,,"Monday, October 25, 2021",2022-06-12,"Oshodi, Ikorodu,Lagos"
The Review of Badagry Master Plan,MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202274332256,"₦195,000,000.00",VISTAPLAN CONSULTING,Private Organization,,0,2021,ONGOING,ONGOING,"Thursday, April 7, 2022",2022-06-12,LAGOS STATE
Preparation of Action Area Plan (Pota),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202202840172,"₦28,500,000.00",MEPAS AND PRODEL NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS STATE
Preparation of Action Area Plan (Ijegun-Egba),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202281665360,"₦40,100,000.00",KADIRI ASSOCIATES LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,Unspecified
Preparation of Action Area Plan (Ijedodo),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202255087280,"₦40,100,000.00",MOA PLANNERS LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS STATE
Procurement of 915 Dual Pupils Furniture (Iron-Wooden),STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202272051741,"₦54,689,550.00",QOALITUS VENTURES,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,LAGOS
"Establishment of Borehole and Overhead Tank (Pad Foundation) at St. Michael Nursery & Primary School, Ojo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202272034174,"₦6,434,777.99",ROCKDOM INTEGRATED LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"OJO, LAGOS"
"Establishment of Borehole and Overhead Tank (Pad Foundation) at Adeniji Primary School, Mushin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202248602363,"₦6,446,046.00",360 UNIQUE DESIGN & CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",75,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"MUSHIN, LAGOS"
"Establishment of Borehole and Overhead Tank (Pad Foundation) at Army Barracks Primary School, LASU Road, Epe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202214348162,"₦6,519,434.24",MONADOK NIG. LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"EPE, LAGOS"
"Establishment of Borehole and Overhead Tank (Pad Foundation) at Irepodun Primary School 1, Orile, Apapa LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202272236122,"₦6,524,800.00",BEVIS CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"APAPA, LAGOS"
"Construction of 220m Fence, Gate and Gate House (Raft Foundation) at Government Handicraft Primary School, Ojo-Oniyun, Ebute-Metta, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202255581602,"₦22,067,247.18",MONADOK NIG. LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"EBUTE-METTA, LAGOS"
"Rehabilitation of a Blocks of 6 & 12 Classrooms with Toilets, including Borehole and Overhead Tank at Amuwo Junior Grammar School, Agboju, Amuwo-Odofin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202244180482,"₦46,435,309.62",FUEZA VENTURES,Private Organization,"₦25,000,001 to ₦50,000,000",23,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"AMUWO ODOFIN, LAGOS"
"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Expressway Primary School, Itire, Mushin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202225047313,"₦56,964,747.53",STEDMAN & DYSON ENGINEERING LTD,Private Organization,"₦200,000,001 to ₦250,000,000",62,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"MUSHIN, LAGOS"
"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Methodist Primary School, Ikorodu LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202245248752,"₦58,123,030.12",BRITTS BROOK LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",37,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"IKORODU, LAGOS"
"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Central Primary School, Ikeja LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202235873613,"₦58,113,923.90",BIZ WORLD INTERNATIONAL LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",50,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"IKEJA, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Afariogun Primary School, Orile-Oshodi, Oshodi-Isolo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202288861756,"₦69,041,081.60",LOFTY CONCEPT NIGERIA LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",44,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"OSHODI, LAGOS"
Preparation of Lagos Island Model City Plan,MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202267718861,"₦295,000,000.00",URBAN PLANNING SMART SOLUTIONS LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Community Primary School, Ibasa, Ojo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202266051768,"₦69,481,845.53",TAMGAJ CORPORATE SERVICES LTD,Private Organization,"₦50,000,001 to ₦100,000,000",32,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"OJO, LAGOS"
Preparation of Action Area Plan (Ikoga),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202287742663,"₦28,500,000.00",TEE-AY-AY LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS STATE
Preparation of Action Area Plan (Ijagemo),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202217461683,"₦40,100,000.00",MOLAJ CONSULTANTS,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS STATE
Preparation of Action Area Plan (Iju),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202265462861,"₦28,500,000.00",CITYSCAPE PLANNING SERVICES LTD,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS
Preparation of Action Area Plan (Obawole),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202240604133,"₦28,600,000.00",CORPORATE CASTLES LTD,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,Unspecified
Preparation of Action Area Plan (Ise Town),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202284281322,"₦28,500,000.00",URBAN PLANNING SMART SOLUTIONS LIMITED,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS
Preparation of Action Area Plan (Ode-Omi),MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202265322631,"₦28,500,000.00",SANNI &ASSOCIATES,Private Organization,,0,2021,ONGOING,ONGOING,"Tuesday, February 16, 2021",2022-06-12,LAGOS
Procurement of ICT tools for the Ministry,MINISTRY OF PHYSICAL PLANNING AND URBAN DEVELOPMENT,ocds-5q8fsw-6202243143073,"₦16,019,674.73",OK DATA TECH LTD,Private Organization,,0,2021,COMPLETED,COMPLETED,"Wednesday, March 31, 2021",2022-06-12,"ALAUSA, IKEJA"
"Construction of 450m Fence, Gate and Gate House (Raft Foundation) at Anglican Primary School, Toga-Zamu, Badagry LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202285001802,"₦38,318,551.50",OLEKUTECHNICIAN LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"BADAGRY, LAGOS"
"Construction of 510m Fence, Gate and Gate House (Raft Foundation) at Roman Catholic Mission Primary School, Idata, Ibeju-Lekki LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202232611507,"₦43,001,397.50",BURGESS TUNDRA NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"IBEJU-LEKKI, LAGOS"
"Construction of a Block of 2 Classrooms, Relaxation Rooms and Toilets with Fire Fighting and Fire Alarm (Raft Foundation) for Early Childhood Care Development and Education (ECCDE) at Oroku Primary School, Apapa Road, Ebute-Metta West, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202288080807,"₦25,031,932.05",360 UNIQUE DESIGN & CONSTRUCTION LIMITED,Private Organization,"₦250,000,001 and above",75,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"EBUTE-METTA, LAGOS"
"Construction of a Block of 2 Classrooms, Relaxation Rooms and Toilets with Fire Fighting and Fire Alarm (Raft Foundation) for Early Childhood Care Development and Education (ECCDE) at Atara Health Centre Primary School, Aguda, Surulere LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202246341462,"₦25,095,851.81",IM AND I LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"SURULERE, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Kadara Primary School, Ebute-Metta, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202204328273,"₦69,498,369.73",BURGESS TUNDRA NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"EBUTE-METTA, LAGOS"
"Construction of a Block of 13 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Local Government Primary School, Alagbado, Alimosho LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202241827473,"₦136,689,903.49",CAPDON INDUSTRIES LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",44,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"ALIMOSHO, LAGOS"
Procurement of 3153 Dual Students Furniture,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202240484688,"₦85,075,822.50",LADAB ASSOCIATES,Private Organization,"₦25,000,001 to ₦50,000,000",24,2021,COMPLETED,,"Wednesday, December 1, 2021",2022-06-12,LAGOS
"Establishment of Borehole and Overhead Tank (Pad Foundation) at Ilasamaja Primary School, Oshodi-Isolo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202273781778,"₦6,513,790.50",CASTLE INVESTMENTS AND ACQUISITION LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",33,2021,COMPLETED,,"Wednesday, December 1, 2021",2022-06-12,"ISOLO, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Local Government Primary School, Imeki-Oke, Epe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202231071258,"₦69,423,395.53",TAYEKA NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"EPE, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Local Authority Primary School, Akarakumo, Badagry LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202260020244,"₦69,449,994.83",CONSWEALTH NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-12,"BADAGRY, LAGOS"
Procurement of 332 ECCDE Furniture,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202213221818,"₦10,528,550.00",KINGDOM & EMIRATE INTERNATIONAL LIMITED,Private Organization,,0,2021,COMPLETED,,"Wednesday, December 1, 2021",2022-06-12,LAGOS
"Establishment of Borehole and Overhead Tank (Pad Foundation) at Monsuru Agoro Primary School, Oshodi-Isolo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202215032083,"₦6,564,584.25",HOA INTERIORS LIMITED,Private Organization,"₦10,000,001 to ₦25,000,000",22,2021,COMPLETED,,"Wednesday, December 1, 2021",2022-06-12,"OSHODI, LAGOS"
